VALENCE,AROUSAL,SENTENCE
-1.0,1.0,"""that's a weird way to spell """"prison"""""
1.0,1.0,relaxed and content and wanting to engage with the grass just feel it
0.0,1.0,I had this :
1.0,1.0,it's interesting I am kind of really
0.0,1.0,The news of the company's bankruptcy made scarcely no impact.
-1.0,-2.0,i don't like it
-1.0,1.0,"""""You think it's"""
0.0,1.0,"""For example, """"She does not speak Spanish."""" These statements stand in stark contrast to positive sentence examples. There, the speaker might say something like, """"She speaks French very well."""" Let's take a closer look at negative statement constructs."""
-1.0,1.0,"""Junk piece, don't buy."""
1.0,1.0,Splendid
-1.0,0.0,does not protect the rights of the buyer.
-1.0,unclassified,unimportant
0.0,1.0,Negative sentence examples include statements of things that are false. They don't have to be accurate or true; they're simply statements from a speaker or writer that are believed to be untrue.
-1.0,0.0,I still feel like crap. I'm staying home and my folks are coming to get Jake.
-1.0,-1.0,incomplete
-1.0,1.0,sadly
1.0,1.0, U_M Yaay Jodi so great to see you on here too! Welcome to Twitterland!!
-1.0,1.0, U_M well hmph. not fair its not shining enough here.
1.0,1.0,"""And if you are traveling soon, I can help you find that perfect hotel."""
-1.0,1.0,I am disappointed of how many electronic components are fake
1.0,1.0,"""this image makes me feel relaxed, and happy and playful"""
1.0,1.0,recommend
-1.0,1.0,say that again
0.0,1.0,when were you born
-1.0,0.0,still haven't started with her translation
1.0,1.0,effectively
0.0,-2.0,back down to two followers
0.0,1.0,voice voice
-1.0,1.0,I don't know what that mean
1.0,0.0,I don't really feel anything it just interesting a little bit weird but
0.0,1.0,so what management
-1.0,1.0,didn't see that one coming.
0.0,0.0,from the dining table.
-1.0,1.0, U_M Bah what a bummer! How did I miss that Thanks for the heads up
1.0,0.0,not bad
0.0,1.0,there are a lot of free stuff anyway. :&gt;
-1.0,0.0,sorry for no updates for a while
0.0,1.0,This guy journalists.
0.0,0.0,Which subcommittee?
-1.0,0.0,"""The song, meant to enhance """"Memory"""" and perhaps improve on it, fails in both cases."""
0.0,0.0,did you go to college
-1.0,1.0,""" I thought of you today, it reminded me to take out the trash."""
0.0,1.0,what do you understand
