SVM_ACCURACY: 36.00, TEMPERATURE: 0.0
PHRASE_TEXT GPT_OUTPUT MATCHED
"Sorry I don't understand." negative 1
"Sorry but I didn't understand that." negative 1
"I'm so sorry to hear that." negative 1
"still didn't quite get that." negative 1
"Sorry Shaun." negative 1
"I'm sorry I am expecting a yes or no response for this question." negative 1
"I am sorry." negative 1
"I'm sorry that my answer wasn't helpful but the language you're using isn't okay." negative 1
"I'm sorry if I haven't answered your question properly." negative 1
"Lovely Missiles ready to launch awaiting your launch codes." positive 1
"it's like the best game of hide and seek for someone like me." positive 1
"I dream of electric sheep." positive 1
"I hope you brought your sun screen." positive 1
"but he continues to play loud music." negative 0
"Sex is like air." positive 1
"So brunettes can remember them." positive 0
"at least it's a change of scene i suppose." negative 0
"You are standing at the end of a road before a small brick building." neutral 1
"A Digital Human has his secrets." negative 0
"A Digital Human has her secrets." negative 0
Um. neutral 1
"Beware the dwarf with the very sharp axe he is very near." negative 1
"Sin of Commission." negative 1
"Okay bye." neutral 1
"Thanks for visiting." positive 1
"Thanks Melanie." positive 1
"Thanks very much for your patience." positive 1
"Thanks for chatting." positive 1
"Thanks for talking to me." positive 1
"Thank you for taking the time to talk with me." positive 1
"Okay thanks for chatting." positive 1
"YouTube has some great videos of puppies tripping on their own feet." positive 1
"so that they can deliver the best supports possible." positive 1
"as aged care is better suited to support you." positive 1
"Observational Feedback and Skill Building." positive 1
"and referred to our Resolutions team to review." neutral 0
"and it's reasonable and necessary." positive 1
"Refunds for retail items generally take about TWO weeks." positive 1
"We're all about agile in the Experience Centre." positive 1
"Our Jumpstart account has special benefits." positive 1
"OnlineCode is two factor authentication." positive 1
Mortgages. negative 0
"PwC's purpose is to build trust in society and solve important problems." positive 1
"I will show you some videos of what good observational feedback looks like." positive 1
"This article should help." positive 1
"A goal is something that you want to do." positive 1
"to Mount Wellington." positive 0
"Here are a few ways I can help you." positive 0
"like Jeff." positive 0
"The higher your credit score the lower thee interest rate on your car." positive 0
"This hospital is massive." positive 0
"The NDIS focuses mostly on supporting participants." positive 0
"you have more important things to think about." neutral 1
"you don't work at the moment." negative 0
"you can expect the payment to post in TWENTY FOUR to FORTY EIGHT business hours." positive 0
"with a clear route to improve your situation." positive 0
"which will be ready for pickup in TWO minutes FORTY FIVE seconds." positive 0
"whenever I mention a quote I always put the person who originally said the sentence." positive 0
"when we work with you to make your plan." positive 0
"there may be ways we can help." positive 0
"then someone will put an application to your state or territory's tribunal." negative 0
"that will tell you more." negative 0
"so you can talk to people in your community about their supports and experiences." positive 0
"so the recipient gets the whole amount." positive 0
"so I've provided some options for you below to consider." positive 0
"so I can learn how to help." positive 0
"or you could be charged extra fees." negative 0
"or the overdrawn balance." negative 0
"or even longer if Inland Revenue approve." positive 0
"or even just help get you to where you need to be." positive 0
"or by utilising insurance or Kiwisaver." positive 0
"it's a superb example of Mercedes engineers breaking the basic rules of physics." negative 0
"it's a crushingly capable all rounder." positive 0
"it'll take about TWENTY FOUR hours for the request to be completed." neutral 1
"it could be that you've entered the activation code incorrectly THREE times." negative 0
"each of us must do it for himself Josiah Royce." positive 0
"depending on their policies." negative 0
"but we may think it's not reasonable or necessary for you to get more funding." negative 0
"but anything you have regarding your current finances will be helpful." positive 0
"as first envisioned by William Gibson in Neuromancer." positive 0
"and we'll give you an indicative amount in New Zealand dollars." positive 0
"and room service." positive 0
"and reduce the chance of miscommunication." positive 0
"and on the top left of the map if you're on a mobile device." neutral 1
"and have purchased your account on this basis." negative 0
"and a bit of c." neutral 1
"You will see announcements towards the end of two thousand and sixteen." positive 0
"You have an account with Lion Finance." positive 0
"You can talk to an advocate about what your rights are." positive 0
"You can request to change your credit card limit online." positive 0
"You can read more about what you need to do if you self manage." positive 0
"You can only try THREE times to reset your password." negative 0
"You can find there number and websites in the chatbox." neutral 1
"We're also talking to communities about what they need and what we can give." positive 0
"We'll chat about the options available to help you." positive 0
"US dollars." positive 0
"To get an overdraft on your account you need to be eighteen or older." negative 0
"Time to get you best hotel anywhere." positive 0
"This is to the right of the search box on a desktop computer." neutral 1
"This is because different people have different needs and goals." positive 0
"This is actually more of an activation issue." negative 0
"These programs are designed to help children with autism build their independence." positive 0
"There are soft drinks in the fridge as well." positive 0
"There are also DIY solutions for getting your finances in order." positive 0
"There are a few different ways to contact us." neutral 1
"The toilets are located out the main doors in the corridor." negative 0
"The only topic we haven't covered yet is what I do." positive 0
"The NDIS uses the laws of the state or territory you live in as a way to protect you." positive 0
"The ICU is located on the second floor." positive 0
"Subscribers network license students or educators and maintenance plans." positive 0
"Sometimes the issue is the way the password is entered in the field." neutral 1
"Our overdraft application fee is twenty five dollars." negative 0
"Or what the NDIS will mean for your supports and services." positive 0
"On the next few pages I am going to show you some of the different ways I can look." positive 0
"Not that I'm going to lift up and bring you a hotel." negative 0
NDIS. positive 0
"Looks like your payment amount exceeded the available funds in your account." negative 0
"Kash works here at Lion Finance too." positive 0
"It should take no more than TWENTY minutes to receive your form." positive 0
"It looks like you are on a subscription plan." positive 0
"Initialising now." positive 0
"IBANs always begin with the country code of the recipient's bank account." positive 0
"I've brought up a list of subjects I can talk to you about below." positive 0
"I'll be here to book your taxi for you after your appointment." positive 0
"I will try and pass you to someone to get them to look into it straight away." positive 0
"I will consult with my human colleagues and get back to you with the answer." neutral 1
"I will ask you a quick question." positive 0
"I want to make sure I'm hearing you correctly." neutral 1
"I sometimes find it hard to understand jokes." negative 0
"I hear relationships can be very supportive." positive 0
"I got the following answers." positive 0
"Here's how to register." positive 0
