Arousal, Phrase
1.0, "*insert some witty, funny, and/or bitching about my job status message here*"
1.0, "274267 Shinobi Shozoku\ set925678 \""Garb of the Great Merchant\"" set437626 \""Armament of Germania\"" set373624 \""Armament of Gaul\"" set\"""""
1.0, ":A soul in tension that's learning to fly, Condition grounded but determined to tryCan't keep the eyes from the circling skiesTongue-tied and twisted just an earth-bound misfit."
1.0, "<PERSON> 1:13-14           13 Let no one say when he is tempted, I am being tempted by God, for God cannot be tempted with evil, and he himself tempts no one. 14 But each person is tempted when he is lured and enticed by his own desire. #Bible <URL>"
1.0, "<PERSON>, Anthropologist"
1.0, "According to Urbandictionary.com: <PERSON>=1. a person who uses the services of a prostitute          2. a very extremely confusing guy. shows that he has feelings for you sometimes, but then might just randomly stop talking to you at any time. very flirtatious. manwhore. will lead you on. hilarious. full of charisma. you have to love him. boys are jealous of him. girls are jealous of the girl he is flirting with"
1.0, "Angle of god,  my guardian dear,  To whom God's love commits me here, 	Ever this day be at my side, To light and guard, to rule and guide.  	Amen."
1.0, "Anyone who knows someone who has had cancer, should check this documentary out, very interesting. Its called The Beautiful Truth\. 		<URL>"""""
1.0, "approx 300,000 people just bought theyre last beer for the night"
1.0, "Can't even think straight, tomoroow is move-in day."
1.0, "can't sleep, again."
1.0, "Carriere Woman Faces Federal Tax Charges<PERSON> Accused Of Preparing False Tax Return March 4, 2010 GULFPORT, Miss. <PERSON> County woman is facing federal charges for helping prepare a false tax return for two individuals.<PERSON>, of Carriere, pleaded not guilty Wednesday to one count of aiding and assisting in the preparation of a false 2005 tax return."
1.0, "Change your Facebook profile picture to a cartoon from your childhood and invite your friends to do the same. Until Monday(Dec.6) there should be no human faces on Facebook, but an invasion of memories. This is for violence against children"
1.0, "Cus you thought you'd win, 	but I'd knew you'd lose, 	Honey, I'm flyer than altitude cruise,"
1.0, "Does anyone know, what time the game is at ?"
1.0, "Dr. Phil's Personality Test -- My Result: The Vain, Self-Centered Leader. <URL>"
1.0, "Enter through the narrow gate. For wide is the gate and broad is the road that leads to destruction, and many enter through it. But small is the gate and narrow the road that leads to life, and only a few find it. (Matthew 7:13-14)"
1.0, "Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth"
1.0, "Got my class schedule.	i have my shop and theroy, along with reading strats, english, psychology, inter Alg, biotec/Mic and spanish I"
1.0, "hanging on a line, a dead line."
1.0, "has 167 friends and hasnt even had a fb for a whole day, kinda tight"
1.0, "here is a question I got stumped on for a little while taking a quiz. can anyone answer it? The three great unifiers of Japan were Oda Nobunaga, Toyotomi Hideyoshi, and Tokugawa Ieyasu. A popular poem exists about these unifiers. It reads:        If the bird does not sing, kill it.        If the bird does not sing, coax it.        If the bird does not sing, wait for it.        Which unifier coaxed\ the bird?\"""""
1.0, "hi, im dong woo"
1.0, "I am asking for your support with American Cancer Society, Relay for Life. My Team's site link has been added here. Just click and assist in anyway that you can. It is a great cause and allows all of us to assist in the fight against cancer."
1.0, "i am selling a dell computer and printer if anyone is int,  desktop flat screen about 5 years old hardly been used, $150."
1.0, "I love women <PERSON>, <PERSON>, <PERSON>"
1.0, "I'm sad I don't have the Mountain network, so I missed my class on tv today.  Anyone tape it?"
1.0, "I've become a huge fan of the delete\ option in the matrix controls for MathCad.  Makes simplifying those pesky Stiffness Matrices a lot faster.  Assuming one deletes the correct rows and columns.\"""""
1.0, "If you love me, comment on this status        If im a good friend, like my status        If you ever had a crush on me, poke me        If you hate me ,message me and tell me why        If you are brave enough, make this your status"
1.0, "In the land of the blinds, One eye man is a king."
1.0, "In thirty seconds you'll be dead, and I'll blow this place up and be home in time for Corn Flakes."
1.0, "is extremely excited, I fly out Dec. 7 at noon."
1.0, "is happy to be home, but needs a drink."
1.0, "kids are in bed, i'm watching tv and getting ready for bed also"
1.0, "Listening to Judas Priest, drinking Jameson whiskey, and updating facebook."
1.0, "Men judge generally more by the eye than by the hand, for everyone can see and few can feel. Everyone sees what you appear to be, few really know what you are. -<PERSON>"
1.0, "Most frequent facebook word of the day: mindmap\.\"""""
1.0, "My  Mommy reach, My Mommy reach, My Mommy reach. I wonder what she bring for me."
1.0, "Name:___________ Age:________Birthday:___________Eye color:_________ Nickname:___________ Favorite color:___________ Favorite Drink:________ My best friend:________Post this to your wall and see who all comments,and who knows you best"
1.0, "Netflix movies that arrived today: Fool's Gold\ and \""Definitely"""
1.0, "new year, new resolutions"
1.0, "not yet done with my APE... having lunch with Dadi Jay in Pepper Lunch, EDSA Shangri-la"
1.0, "octopus prediction  spain will win the cup\\"""""
1.0, "Of those people who tryed QWOP and if you didnt, try it. Try to beet the score of 45.7 meters"
1.0, "Our doubts are traitors  and make us lose the good we oft might win, by fearing to attempt   Shakespeare"
1.0, "Please put this in your status if you know someone or are related to someone who suffers from stupidity. People need to understand that stupidity is real and should be taken seriously. You could be sitting next to a sufferer right now. There is still no known cure for stupidity, and sympathy does not help. But we can raise awareness. ...93% won't do this because they don't know how to copy and paste"
1.0, "really wants to see the movie year one\ - is okay too"""
1.0, "The presence of a friend is a coversation itself\\"""""
1.0, "the wedsite asks what is on my mind. there is nothing on my mind, just in it. silly website"
1.0, "There are as many nights as        days, and the one is just as long as the other in the year's course.        Even a happy life cannot be without a measure of darkness, and the word        'happy' would lose its meaning if it were not balanced by sadness.."
1.0, "There is no instance of a country having benifited from prolonged warfare.\ - Sun Tzu\"""""
1.0, "tried to take the kids to take a picture with the neighborhood True Value Santa, but the little ones would not abide.  Still cool to see the path lined with grills instead of the usual fake pine trees and far less stress than the same level of failure that would occur with a mall Santa."
1.0, "Watching Dance Your Ass Off, they gave each contestant their dream meal\ as their last fatty meal. The black girl's"""
1.0, "When you become detached mentally from yourself and  concentrate on     helping other people with their difficulties, you will be able to  cope with your own more     effectively. Somehow, the act of self-giving is a personal  power-releasing factor. (the pisces man )"
1.0, "wonders who ever cried when listening to a guitar solo, is he the only one?"
1.0, 02/18/2001 A day all NASCAR fans will remember R.I.P. <PERSON> We will miss you.
1.0, 12 today
1.0, 20min
1.0, 3hrs  2 go n then im 14
1.0, <3
1.0, <3
1.0, <PERSON>
1.0, <PERSON> tonight for some improv with <PERSON>.
1.0, <URL>
1.0, <URL>
1.0, <URL>
1.0, @Cardiff
1.0, A boy writes a letter to God.Dear God
1.0, a chowdhury.
1.0, A little boy today: Four
1.0, A Lonely September Ã¢â„¢Âª
1.0, Actually getting engineering..
1.0, agar
1.0, Alcohol servers license class  in seaside.  Call <PHONE>
1.0, Alien Technology
1.0, all i want for christmas is a hippopotamus
