,Anonymized Message,Avg_Valence,Avg_Arousal,Valence_Scaled,Arousal_Scaled
0,We'll be off and running to a lil' place called SILVERWOOD today! Can't wait! :),9.0,8.0,1.0,1.0
1,I really wana move soon!,4.5,6.0,1.0,0.0
2,thinking at charity cup,5.0,1.0,0.0,-2.0
3,"thinks that for girls, boys are easily found. But GIRLS don't realize they need MEN!!",3.5,6.5,-1.0,0.0
4,Our Wedding Anniversary tonight...,7.0,4.5,1.0,-1.0
5,Just sip some crystal with these real ones,5.0,2.0,0.0,-2.0
6,Believe The Hype for Raleigh! Snip3down is going to go off!!,7.0,7.5,1.0,1.0
7,I would like to thank all of my family and friends that came out and celebrated as well as  showered my new lil man with love and gifts. It was great! O how I love my family and friends.,8.5,5.5,1.0,0.0
8,Holy shit... Still playing with go to meeting.... Tech support.... Help... Help.   Mama's tired,4.0,5.5,-1.0,0.0
9,So happy <PERSON> is the bomb,7.0,4.0,1.0,-1.0
10,getting ready for the big move people,6.0,5.5,1.0,0.0
11,Happy happy happy new year to everybody!! I have optimistic hopes for 2010.,8.5,8.0,1.0,1.0
12,I can't believe Michael Jackson is dead! ):,2.0,6.5,-1.0,0.0
13,"HELP! im looking for a childbirth class, preferably on weekdays.  Found <PERSON>, but she's only offering Sunday morning classes, and she's starting this Sunday. ANY SUGGESTIONS? thanks!",5.0,6.5,0.0,0.0
14,Is exhausted. I think <PERSON> has colic. She wrenches her back and cries forever. Mostly in the morning though and right before bed. Ouy!,3.0,5.5,-1.0,0.0
15,would like to send a shout out and thanks to his little helper this weekend.,7.0,2.0,1.0,-2.0
16,Finally 100% FIT......,7.5,3.5,1.0,-1.0
17,Making smores with the kids! They want to camp out tonight!!!!!! LOL!!! Let's see how that goes!!!!!!!!,7.5,9.0,1.0,1.0
18,"What a weekend? EAT, EAT and EAT some more, BBQ TIME!!!!",8.0,8.5,1.0,1.0
19,"When youÃ¢â‚¬â„¢re sad and alone, the only one you can truly depend on is yourself. Ã¢â‚¬â€ Zetsu",2.5,2.5,-1.0,-2.0
20,around..,5.0,1.0,0.0,-2.0
21,going to atl this weekend to see my mawmaw,7.0,3.0,1.0,-2.0
22,"Am I my thoughts, the thoughts that I am thinking? No.  Thoughts come and go;  I am not my thoughts. Am I my body?  They tell us that millions of cells in our body are changed or are renewed every minute, sothat by the end of seven years we don't havea single living cell in our body that was there seven years before.  Cells come and go.  Cells arise and die.  But I\ seems to persist.  So am I my body?  Evidently not\""""",4.5,4.0,-1.0,-1.0
23,3 more days,5.0,1.5,0.0,-2.0
24,got a new # if you want it let me know.,5.0,1.5,0.0,-2.0
25,"Ergh, Anatomy, 16 page outline AND 15 pages of pictures to label by TOMORROW, I curse you procrastination. May you rot forever in purgatory",3.0,4.5,-1.0,-1.0
26,i bought my wedding dress monday and i cant wait to have it on again!!!! its sooo beautiful,8.0,8.0,1.0,1.0
27,Hot pot!,6.0,7.5,1.0,1.0
28,"Pleading... if anyone would like to do a tax credit, instead of paying what you would pay to the State, our Kindergartners really would like to go on a field trip to the pumpkin patch & with district cuts, we have to pay for our own bus.  Email me for more info - 23 kinders would be grateful!  Thanks",4.5,3.0,-1.0,-2.0
29,"In memory of every cancer patient, family members & friends who has lost their battle with cancer, and in honpor of those who continue to conquer!  Put this up for 1 hour if you love someone who has or had cancer. Many won't copy & paste. I am proud to. Will you?",5.0,4.5,0.0,-1.0
30,"6 down, 3 to go, come on S4S! Make me a happy guy! :)",7.5,7.0,1.0,1.0
31,Pancakes were apperantly good <PERSON> :D:D i hope we dont get sick after them :D,7.0,5.5,1.0,0.0
32,Got my new tat! I got it on my cest. I didnt get to finish it cuz it hurt too fucking much. Fuckin awesome lookin tho,7.0,8.0,1.0,1.0
33,ABCDEFUCK,3.0,4.5,-1.0,-1.0
34,Big weekend coming up. My band are performing at the Bay of IslandS Country Rock Festival... YEEEEHHHAAAAAAA!!!,7.5,8.0,1.0,1.0
35,is looking for a job here in Indy...Any suggestions?????,5.0,3.5,0.0,-1.0
36,"Successful people do not focus on the Problem. They only focus on the Solution\. Be Focused on Solution.\""""",4.5,3.0,-1.0,-2.0
37,Reggie Bush is the MAN!!!!,7.0,7.5,1.0,1.0
38,I never thought it would happen to me! A co-worker just asked me if I was having a case of the Mondays!,4.5,6.0,-1.0,0.0
39,good night everyone!!!pleas smile before you go to bed..in case something happen...and you fall asleep indefinitely...you have a smile in your face....,5.0,4.5,0.0,-1.0
40,Driving to cape may for the weekend now. So bored...,3.5,2.0,-1.0,-2.0
41,"ATTENTION EVERYONE---There's a site called <URL> that's a new online phone book w/personal information: everything from pics you've posted on FB or web, your approx credit score, home value, income, age, etc. You can remove yourself by first searching for yourself on their site to find the URL of your page, then going to the Privacy button on the bottom of their page to remove yourself. Copy & repost",5.0,3.0,0.0,-2.0
42,Cracked another one!!! One to go!!!,6.5,7.5,1.0,1.0
43,is contemplating how to spend his Xbox points...,5.0,1.5,0.0,-2.0
44,la lingaw.. sleepy na.. work napud ugma. hehehe,5.5,2.0,0.0,-2.0
45,"according to nbc news people getting social security won't get an increase bcause the cost of living isn't going up, because the inflation rate is negative.....          first of all the cost of living is always going up, second of all the inflation rate is not negative, and third: if i was negative it wouldn't be 'in'flation, it wuld be 'de'flation",3.5,3.0,-1.0,-2.0
46,school be messed up,2.5,3.0,-1.0,-2.0
