0.0
accuracy: 83.33
Phrase_text gpt_output matched
"I get Botox for migraine and my eyebrows don’t do this ... she looks like she is on drugs ." negative 1
"DEFINTIONS! Eugh; yuck yuck yuck yuck yuck yuck. Mr O'Rourke; I hate you" negative 1
"bothered that there are so many of these around" neutral 0
"I feel really scared, my heart is racing and I want to run away as fast as I can" negative 1
"On High Road, Kesha wants to have it both ways—she sings about her therapist and Tarot readings and her aura, but she’s also back to clubbing with a vengeance." neutral 1
"hand back the keys today" neutral 1
"are you good" positive 0
"Her journey through the 2010s was a long, hard road, but she always reflects the times," neutral 1
"makes me feel very pleasant relaxed" positive 1
"had so much fun hanging out with nathan from nevershoutnever last night!" positive 1
"He makes my man bits tingle. Loved him in Robin Hood Men in Tights just as much." positive 1
"it's a natural image I mean uhh they are loving each other" positive 1
